name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas
Kétchup Heinz envase 220 ml.,"2,55 €",0.1 g,103 Kcal,440 KJ,0.9 g,24.1 g,0.9 g
Mini galletas The Simpsons Crunchy Arluy 400 g.,"4,19 €",17 g,467 Kcal,1955 KJ,0.68 g,72 g,5.2 g
Salmón ahumado noruego Extra Carrefour 100 g.,"3,79 €",13 g,212 Kcal,886 KJ,3.2 g,0.8 g,23 g
Tinto de verano con limón sin alcohol La Casera lata 33 cl.,"0,99 €",0.0 g,18 Kcal,78 KJ,0.10 g,4.1 g,0.1 g
Filetes de anchoa del Cantábrico en aceite de oliva Cuca 29 g.,"4,19 €",9.7 g,191 Kcal,800 KJ,9.3 g,0 g,29 g
Garbanzos a la riojana Original Carrefour sin gluten 420 g.,"1,35 €",6.4 g,129 Kcal,539 KJ,0.8 g,10.8 g,5.8 g
Aceitunas manzanilla gazpachas Fragata sin gluten 400 g.,"4,45 €",15.0 g,146.0 Kcal,599.0 KJ,4.0 g,0.1 g,0.9 g
Red Bull Bebida Energética Zero lata 25 cl,"1,59 €",0 g,2 Kcal,9 KJ,0.02 g,0 g,0 g
Preparado para pan Schär sin gluten y sin lactosa 1 kg.,"5,09 €",0.9 g,348 Kcal,1475 KJ,0.83 g,80 g,2.7 g
Queso de mezcla tostado en cuña Gran Capitán 200 g,"4,89 €",39 g,157 Kcal,1893 KJ,2 g,1.1 g,26 g
Salsa picante Piri Piri Sensation Carrefour botella 200 g.,"0,99 €",1.4 g,30 Kcal,125 KJ,1.5 g,2.7 g,0.9 g
Mantequilla con sal Carrefour 250 g.,"1,90 €",82 g,743 Kcal,1056 KJ,1.3 g,0.7 g,0.6 g
Bombón helado chocolate con leche 6 ud.,"2,45 €",16 g,284 Kcal,1187 KJ,0.18 g,32 g,2.6 g
Azúcar moreno de caña integral en azucaritos Azucarera 300 g.,"1,72 €",0 g,380 Kcal,1615 KJ,0 g,95 g,0 g
Velita de salchichón ibérico de cebo 50% raza ibérica Valturra Ibéricos 200 g,"2,65 €",37.2 g,460 Kcal,1909 KJ,3.43 g,4.2 g,27.1 g
Rabas empanadas Extra Carrefour 400 g.,"2,79 €",1 g,89 Kcal,376 KJ,0.73 g,10 g,9.2 g
Bífidus desnatado con trozos de kiwi sin azúcar añadido Carrefour pack de 4 unidades de 125 g.,"1,30 €",1 g,79 Kcal,333 KJ,0 g,15 g,4 g
Bombón golden toffe Wonder Magnum 3 ud.,"4,69 €",19 g,315 Kcal,1319 KJ,0.19 g,31 g,4.4 g
Atún claro con aceite de oliva virgen extra Ligero Calvo pack de 3 unidades de 56 g.,"4,95 €",7 g,155 Kcal,650 KJ,1 g,0 g,23 g
Baguette precocida Carrefour Classic' pack de 2 unidades de 150 g.,"0,92 €",1.1 g,246.0 Kcal,1042.0 KJ,1.4 g,50.0 g,7.8 g
Crema de queso azul Carrefour sin gluten 125 g.,"1,71 €",24 g,276 Kcal,1141 KJ,2.3 g,1.9 g,13 g
Palitos de mar 450 g.,"1,75 €",3.9 g,116 Kcal,490 KJ,2.2 g,14 g,7.3 g
Patatas fritas Tyrrell's 150 g.,"3,95 €",22.6 g,447 Kcal,1871.5 KJ,1.5 g,55 g,4.9 g
Fabada con bocaditos Hi Vegs! sin gluten 300 g.,"4,79 €",3.1 g,114.0 Kcal,477.0 KJ,0.9 g,11.0 g,5.3 g
Garbanzos con su sofrito Hoy Legumbres Litoral sin gluten 440 g.,"2,05 €",2.5 g,90 Kcal,377 KJ,0.71 g,10.9 g,4.3 g
Tortillas de maíz Carrefour Sensation sin gluten 10 ud.,"2,59 €",2.2 g,226 Kcal,954 KJ,0.98 g,43 g,5.3 g
Yogur desnatado cremoso natural edulcorado sin azúcar añadido Danone Vitalinea pack de 4 unidades de 120 g.,"2,69 €",0.1 g,54 Kcal,229 KJ,0.21 g,6.9 g,5.1 g
Bizcocho Mármol con Chocolate Ecológico La Granja 300 g,"4,15 €",26.0 g,457.0 Kcal,1909.0 KJ,1.3 g,47.0 g,7.6 g
Snacks infantil de fresa y manzana ecológico Smileat 25 g.,"1,72 €",0.5 g,295 Kcal,1247 KJ,0.01 g,65 g,2.5 g
Coca Cola zero azúcar sabor cereza lata 33 cl.,"0,89 €",0 g,0.3 Kcal,1.0 KJ,0.02 g,0 g,0 g
Pasta Fusilli nº 98 Barilla 500 g.,"1,89 €",2 g,359 Kcal,1521 KJ,,71.2 g,12.5 g
Helado Maxbon Mini Classic Nestle 6 Ud.,"6,45 €",17 g,330 Kcal,1382 KJ,0.19 g,38 g,4.3 g
Corazón escarola maxi bol 250 g,"2,19 €",0.2 g,14 Kcal,59 KJ,0.06 g,0.3 g,1.3 g
Cereales con chocolate Corn Flakes Nestlé sin gluten 375 g,"4,09 €",3.7 g,394.0 Kcal,1666.0 KJ,0.98 g,81.8 g,6.1 g
Aperitivos de máiz sabor explosivo Puntazos Aspil sin gluten 110 g.,"1,25 €",17 g,451 Kcal,1893 KJ,2 g,66 g,5.8 g
Nachos triangulares Carrefour 375 g,"4,00 €",20 g,476 Kcal,1996 KJ,1.1 g,64 g,7.6 g
Carabinero crudo congelado Extra Carrefour 400 g.,"38,40 €",0.9 g,76 Kcal,322 KJ,0.88 g,0 g,17 g
Tomate frito gourmet estilo Kikí 350 g.,"8,09 €",20.5 g,221 Kcal,912 KJ,0.46 g,7.3 g,1.2 g
Fiambre de Pechuga de Pavo en lonchas El Pozo sin gluten 80 g,"1,00 €",1 g,81 Kcal,343 KJ,2.4 g,6 g,12 g
Leche fermentada desnatada con bifidus cremoso sabor mango Danone Activia pack de 4 unidades de 120 g.,"2,39 €",0.3 g,59.0 Kcal,249.0 KJ,0.13 g,8.6 g,4.5 g
Chocolate relleno de cheesecake Milka 300 g.,"3,69 €",30 g,531 Kcal,2219 KJ,0.36 g,60 g,4.9 g
Patatas fritas para horno ecológicas Carrefour Bio 600 g.,"3,59 €",5 g,145 Kcal,607 KJ,0 g,22 g,3 g
Tomate frito estilo casero Solis sin gluten pack de 3 briks de 200 g.,"3,59 €",7.0 g,102 Kcal,425 KJ,0.9 g,7.8 g,1.3 g
"Pechuga de pollo ""estilo Kentucky"" Maheso 250 g.","5,09 €",13 g,232 Kcal,973 KJ,1.25 g,13 g,16 g
Café Mocha en Cápsulas Nescafé Dolce Gusto 16 ud.,"5,19 €",19.3 g,452 Kcal,1892 KJ,0.55 g,45.5 g,19.5 g
Queso fresco desnatado Burgo de Arias pack de 6 unidades de 72 g.,"5,25 €",0 g,58 Kcal,248 KJ,0.89 g,3.6 g,11 g
"Leche entera Carrefour botella 1,5 l.","1,40 €",3.6 g,63 Kcal,264 KJ,0.13 g,4.7 g,3 g
Maxibon Jungly Blanco Nestlé 4 ud.,"6,75 €",15 g,306 Kcal,1280 KJ,0.26 g,39 g,4.4 g
Tortilla de patatas con cebolla Carrefour Classic' sin gluten sin lactosa 600 g.,"2,59 €",9 g,147 Kcal,614 KJ,1 g,11 g,5 g
Caldo natural para paella marinera con sofrito de pescado Aneto sin gluten y sin lactosa brik 1 l.,"5,25 €",2.4 g,30 Kcal,123 KJ,0.8 g,1.0 g,0.8 g
Leche infantil para lactantes líquida Nestlé Nan Optipro 1 brik 500 ml.,"3,25 €",3.6 g,67 Kcal,282 KJ,,7.4 g,1.2 g
Chocolate negro con avellanas Nestlé Dark 150 g.,"2,55 €",36.2 g,557 Kcal,2319 KJ,0.00 g,44.6 g,9.6 g
Queso pecorino romano D.O.P. Terre D´Italia 200 g,"10,75 €",32 g,394 Kcal,1634 KJ,4.4 g,0 g,26 g
Queso fundido en porciones Carrefour Kids 400 g.,"2,15 €",19.5 g,240 Kcal,994 KJ,1.5 g,8.5 g,7.5 g
Mayonesa Carrefour envase 500 ml 475g.,"1,47 €",72.0 g,655.0 Kcal,2694.0 KJ,1.0 g,2.0 g,1.0 g
Croquetas de cocido estilo ropa vieja La cocinera 340 g.,"5,55 €",11.0 g,238.0 Kcal,996.0 KJ,1.1 g,27.0 g,7.1 g
Galletas rellenas de crema de avellanas y cacao Nutella 304 g.,"4,19 €",24.6 g,511 Kcal,2138 KJ,0.547 g,63.3 g,7.9 g
Alubias cocidas en salsa de tomate Heinz 415 g.,"1,50 €",0.2 g,79 Kcal,337 KJ,0.6 g,12.9 g,4.7 g
Aceitunas verdes partidas aliñadas Exóticas La Española sin gluten 185 g.,"3,25 €",17.6 g,174 Kcal,716 KJ,3.4 g,0.5 g,1.9 g
Regaliz de goma fresa Mega Torcidas Haribo 200 g.,"2,29 €",1.6 g,337 Kcal,1432 KJ,0.06 g,77 g,3.1 g
Chocolate puro con almendras enteras XL Valor sin gluten 300 g.,"4,69 €",40 g,570 Kcal,2366 KJ,0.06 g,38 g,9.9 g
Yogur cremoso con frutas del bosque Carrefour Sensation sin gluten 500 g,"1,15 €",3 g,90 Kcal,379 KJ,0 g,13 g,4 g
Alcachofa en cápsulas Vive+ 50 ud.,"5,35 €",0.25 g,11.05 Kcal,46.04 KJ,0 g,1.4 g,0.8 g
Nata para cocinar Central Lechera Asturiana 1 l.,"5,49 €",18 g,188 Kcal,777 KJ,0.1 g,4 g,2.5 g
Tortitas de maíz Vitalday Gullón sin gluten 130 g.,"1,42 €",2.0 g,377 Kcal,1600 KJ,1.6 g,83 g,6.0 g
Salsa mojo picón picante De Nuestra Tierra 200 g.,"5,49 €",24.4 g,,1047 KJ,1.773 g,7.4 g,1.1 g
"Tostadas crujientes de trigo sarraceno ecológicas Santiveri sin gluten, sin lactosa y sin azúcar añadido 100 g.","2,75 €",2.1 g,359 Kcal,1523 KJ,1.6 g,75 g,10 g
Pizza reina 340 g,"4,95 €",9 g,319 Kcal,1344 KJ,3.6 g,36 g,23 g
Cerveza rubia San Miguel especial premium internacional pack 24 botellas 25 cl.,"11,49 €",0 g,49 Kcal,204 KJ,0 g,41.0 g,4.0 g
Espinacas con pasas y piñones Salteados Findus 400 g.,"3,59 €",3.7 g,71 Kcal,297 KJ,0.74 g,5.3 g,2.9 g
Salsa teriyaki para marinados Kikkoman botella 250 ml.,"5,89 €",0 g,97.0 Kcal,410.0 KJ,11.6 g,12.0 g,6.6 g
Sirope sabor Carrefour 275 g.,"1,61 €",0 g,328 Kcal,1394 KJ,0 g,82 g,0 g
Mini redondos de chocolate Carrefour 160 g.,"1,73 €",33 g,503 Kcal,2106 KJ,1.3 g,48 g,5.2 g
Hummus ecológico La Piara 200 g.,"5,99 €",27 g,295 Kcal,1218 KJ,1 g,6.9 g,4.4 g
Chocolate negro con piel de naranja confitada Carrefour Selección 100 g.,"1,40 €",33 g,525 Kcal,2185 KJ,0.03 g,45 g,7.7 g
Queso en lonchas curado Carrefour 200 g.,"3,69 €",30 g,372 Kcal,1544 KJ,2 g,1 g,25 g
Leche infantil para lactantes desde el primer día en polvo Almirón Advance 1 sin aceite de palma lata 800 g.,"23,50 €",24.6 g,482.0 Kcal,2016.0 KJ,,53.5 g,9.7 g
Yogur cremoso con melocotón y maracuyá Carrefour Sensation sin gluten 500 g.,"1,15 €",3 g,90 Kcal,379 KJ,0 g,13 g,4 g
"Leche baja en grasa 1,5% M.G UHT Avonmore brik 1 l.","3,15 €",1.5 g,47 Kcal,197 KJ,0.11 g,4.9 g,3.4 g
Bebida de avellanas Alpro sin gluten y sin lactosa brik 1 l.,"2,59 €",1.6 g,29 Kcal,122 KJ,0.14 g,3.2 g,0.4 g
Royal Bliss bohemian berry sensation lata 25 cl.,"0,75 €",0 g,33 Kcal,140 KJ,0 g,7.8 g,0 g
Patatas Kid Smile McCain 650 g.,"3,85 €",6.5 g,158 Kcal,660 KJ,0.4 g,21 g,2 g
Mousse sabor a chocolate y caramelo salado con proteínas Yopro Danone sin gluten y sin azúcar 150 g.,"2,29 €",2.3 g,85 Kcal,354 KJ,0.25 g,5.5 g,10 g
Salsa guacamole suave Old El Paso tarro 320 g.,"3,85 €",5.4 g,102 Kcal,427 KJ,0.86 g,10.9 g,1.7 g
Nata para montar Central Lechera Asturiana 500 ml.,"3,05 €",38 g,360 Kcal,1483 KJ,0.1 g,2.7 g,1.8 g
Vino blanco verdejo Apoteosis D.O. Rueda 75 cl.,"2,55 €",0.1 g,79.0 Kcal,327.0 KJ,0.009 g,1.6 g,0.1 g
Queso de mezcla semicurado Gran Capitán cuña cortada de 230 g aprox,"5,99 €",35 g,408 Kcal,1693 KJ,1.5 g,0.5 g,23 g
Dulce de membrillo Classic´ Carrefour 230 g.,"2,19 €",0.5 g,299.0 Kcal,1269.0 KJ,0.10 g,72.0 g,0.5 g
Kéfir de arándanos Carrefour Sensation pack de 4 unidades de 125 g.,"2,95 €",6 g,111 Kcal,465 KJ,0 g,12 g,3 g
Leche infantil para lactantes en polvo Nestlé Nan Optipro 1 1200 g.,"28,50 €",27.6 g,519 Kcal,2172 KJ,,57.7 g,9.6 g
Salchichas con doble de leche Campofrío sin gluten 140 g.,"1,13 €",17 g,217 Kcal,901 KJ,2 g,3 g,13 g
Galletas maría integral ecológica Gullón Bio 400 g.,"3,29 €",15 g,454 Kcal,1909 KJ,0.35 g,70 g,7.4 g
Helado de new york cheesecake Carte D'or 900 ml.,"4,99 €",6.8 g,195 Kcal,816 KJ,0.15 g,30 g,3.3 g
Harina especial para fritos y rebozados Original Carrefour 1 kg.,"1,37 €",1.6 g,351.0 Kcal,1491.0 KJ,0.3 g,73.0 g,11.0 g
Infusión de cúrcuma con té matcha en bolsitas Hornimans 20 ud.,"2,95 €",0 g,1 Kcal,3 KJ,0 g,0.5 g,0 g
Queso camembert President en porciones 250 g,"5,15 €",19.5 g,240 Kcal,994 KJ,1.8 g,7 g,9 g
Miguelitos de Chocolate Blanco Ruiz 500 g,"7,50 €",39.66 g,588.14 Kcal,2458.43 KJ,0.36 g,55.10 g,2.70 g
Bombón blueberry cookie Chill Magnum 3 ud.,"4,69 €",17 g,305 Kcal,1274 KJ,0.06 g,34 g,1.6 g
Tarrina de Capuccino Extra Carrefour sin gluten 602 g.,"3,35 €",10 g,210 Kcal,878 KJ,0.1 g,28 g,1.8 g
Nata montada azucarada Central Lechera Asturiana spray 250 ml.,"3,05 €",28.3 g,312 Kcal,1290 KJ,0.16 g,11.9 g,2.4 g
Hamburguesa de Cerdo Ibérico Carrefour El Mercado 4x90 g,"3,15 €",16.5 g,212 Kcal,881 KJ,2.2 g,3 g,14.5 g
Galletas cream crakers Jacobs 200 g.,"2,25 €",13.5 g,440.0 Kcal,1851.0 KJ,,67.7 g,10.0 g
Salchichas King bockwurst ElPozo sin gluten 330 g,"2,65 €",17.5 g,218.29 Kcal,914 KJ,2.1 g,0.5 g,15.2 g
Bolsita yogurín con plátano y fresa Hero Mi Merienda sin gluten y sin azúcar añadido 100 g.,"1,30 €",1.7 g,75 Kcal,317 KJ,0.06 g,12.4 g,2.2 g
Tomate con aceite de oliva virgen extra ecológico Pedro Luis sin gluten 340 g.,"3,15 €",5.6 g,72 Kcal,301 KJ,0.9 g,4.7 g,0.5 g
Hélices con tomate y espinacas especial ensaladas Gallo 450 g.,"1,88 €",2 g,344 Kcal,1457 KJ,0.05 g,67 g,12 g
Chocolate con leche Milka pack de 3 unidades de 100 g.,"3,69 €",31 g,539 Kcal,2251 KJ,0.28 g,57 g,6.5 g
Queso fresco tradicional Carrefour 250 g.,"1,49 €",12 g,171 Kcal,711 KJ,0.76 g,3.7 g,12 g
Salsa con aceitunas Barilla sin gluten tarro 400 g.,"3,69 €",4.5 g,79 Kcal,329 KJ,,6.7 g,1.9 g
Lenteja pardina categoría extra Carrefour 1 kg.,"2,09 €",2.1 g,281 Kcal,1171 KJ,0 g,23 g,23 g
Aceitunas partidas gazpachas Carrefour sin gluten y sin lactosa 500 g.,"2,49 €",16 g,153 Kcal,629 KJ,3.7 g,1.1 g,1.1 g
Queso gouda en lonchas Simpl 400 g.,"2,85 €",30 g,370 Kcal,1535 KJ,1.9 g,0 g,25 g
Chocolate blanco cremoso Lindt Lindor 100 g.,"2,65 €",50 g,643 Kcal,2669 KJ,0.21 g,43 g,5.2 g
Sandwich stick Oreo Milka 4 ud.,"5,25 €",20 g,364 Kcal,1521 KJ,0.48 g,41 g,4.7 g
Vino tinto Mr. Bob 75 cl.,"3,00 €",0.1 g,70 Kcal,294 KJ,0 g,3.7 g,0.2 g
Espárragos verdes Classic Carrefour 190 g.,"2,55 €",1.0 g,27.0 Kcal,115.0 KJ,1.0 g,2.0 g,3.0 g
"Queso fresco de Burgos bajo contenido de sal Carrefour pack de 4 unidades de 62,5 g.","1,39 €",6.2 g,116 Kcal,484 KJ,0.12 g,4 g,11 g
Azúcar glacé Azucarera 500 g.,"2,95 €",0 g,400 Kcal,1700 KJ,0 g,100 g,0 g
Arroz bomba categoría extra La Fallera 1 kg.,"5,59 €",0.9 g,349 Kcal,1483 KJ,0 g,76 g,7.8 g
Preparado de soja con mandarina y lima Sojasun sin gluten sin lactosa pack de 4 unidades de 100 g.,"2,79 €",2.1 g,82 Kcal,347 KJ,0.11 g,11.9 g,3.7 g
Galleta María cacao Carrefour 265 g.,"1,70 €",20 g,479 Kcal,2010 KJ,0.09 g,64 g,8.7 g
Pisto sofrito de verduras Hida sin gluten 350 g.,"2,25 €",5.0 g,92.0 Kcal,391.0 KJ,0.3 g,10.8 g,1.3 g
Caramelos sabor eucalipto sin azúcar Ricola 70 g.,"2,15 €",0 g,235 Kcal,980 KJ,0 g,98 g,0 g
Galletas chía ecológicas Digestive Gullón 270 g.,"3,39 €",18 g,460 Kcal,1930 KJ,0.33 g,62 g,8.6 g
Galletas integrales María Classic Carrefour 800 g.,"1,60 €",12 g,440 Kcal,1853 KJ,1 g,74 g,7 g
"Chicles sabor menta Oral-B Trident pack de 3 unidades de 17 g,","3,29 €",0.1 g,158 Kcal,656 KJ,0.08 g,63 g,0.1 g
Proteína vegana de vainilla Weider sin gluten 300 g.,"16,39 €",1.2 g,362.0 Kcal,1538.0 KJ,2.9 g,5.1 g,82.0 g
Pollo con champiñones Carretilla sin gluten sin aceite de palma 250 g.,"4,49 €",3.9 g,111 Kcal,456 KJ,1.1 g,4.8 g,12.6 g
Guisantes con zanahorias ecológicos Carrefour Bio 215 g.,"2,29 €",,48 Kcal,201 KJ,0.51 g,,2.2 g
Natillas con galleta Reina pack de 8 unidades de 125 g.,"3,85 €",3.3 g,132 Kcal,556 KJ,0.2 g,23 g,2.5 g
Caramelos de goma Favoritos Pica Haribo 275 g.,"3,39 €",0.5 g,339 Kcal,1440 KJ,0.36 g,81 g,5 g
Bífidus con trozos de frutos rojos Carrefour pack de 4 unidades de 125 g.,"1,33 €",3.3 g,104 Kcal,436 KJ,0.12 g,14.2 g,3.4 g
Preparado para bebida de cacao ecológico Carrefour Bio 500 g.,"4,39 €",3.5 g,367 Kcal,1537 KJ,0.05 g,71 g,8 g
Pechuga de pollo en aceite Classic Carrefour pack de 2 unidades de 52 g.,"2,09 €",3.5 g,136 Kcal,572 KJ,1.4 g,,26 g
Chocolatina rellena de crema de leche Lacasitos sin gluten pack de 5 unidades de 21 g.,"2,69 €",32.3 g,548 Kcal,2290 KJ,0.27 g,56.2 g,7.7 g
Helado Gold Caramel Billionaire Double Magnum 440 ml.,"6,15 €",12 g,207 Kcal,865 KJ,0.17 g,23 g,2.6 g
Cereales de maíz y arroz inflado sin azúcar Chocozero Esgir  sin gluten 300 g.,"2,59 €",3.79 g,357 Kcal,1506 KJ,0.14 g,78.35 g,7.8 g
Palmitos en medallones Carrefour Classic 250 g.,"3,19 €",0.7 g,34 Kcal,142 KJ,0.4 g,3.5 g,2.5 g
Schweppes naranja zero lata 33 cl.,"0,95 €",0.0 g,2 Kcal,8 KJ,0.02 g,0.2 g,0.0 g
"Cóctel gourmet Perezsol 2,2 kg.","8,89 €",2.7 g,37 Kcal,155 KJ,3.45 g,1.4 g,1 g
Aceitunas rellenas de chili Valientes La Española sin gluten pack de 3 latas de 50 g.,"4,29 €",16.2 g,161 Kcal,662 KJ,2.9 g,0.5 g,2 g
"Cereales de trigo integral, arroz y avena integral tostados con chocolate con leche Fitness Nestlé 540 g.","4,89 €",6.8 g,398 Kcal,1677 KJ,0.49 g,71.2 g,8.9 g
Cocktail de frutos secos Carrefour 500 g.,"2,15 €",52 g,618 Kcal,2559 KJ,1.8 g,7.8 g,26 g
Callos a la madrileña Rogusa 380 g.,"2,95 €",6.0 g,116.0 Kcal,487.0 KJ,1.25 g,1.0 g,14.2 g
Tortilla de garbanzos con cebolla Carrefour Veggie sin gluten sin lactosa 500 g.,"2,95 €",6.7 g,152 Kcal,637 KJ,0.76 g,19 g,3.4 g
Crema de calabaza Carrefour sin gluten 500 ml.,"0,99 €",1.8 g,40 Kcal,166 KJ,0.68 g,4.4 g,1 g
Helado de chocolate belga Häagen Dazs sin gluten 460 ml.,"6,99 €",20.7 g,314 Kcal,1316 KJ,0.13 g,26.2 g,4.5 g
Galletas mini con pepitas de chocolate Chips Ahoy 160 g.,"1,65 €",24 g,504 Kcal,2108 KJ,1.04 g,64 g,5.8 g
Spaghetti pasta fina Gallo 400 g.,"1,45 €",2 g,344 Kcal,1458 KJ,0.03 g,68 g,12 g
"Chicles sabor mentol extremo Trident sin azúcar pack de 4 unidades de 14,5 g.","2,19 €",0.2 g,154 Kcal,640 KJ,0.04 g,61 g,0.4 g
Salchichón de Bellota Ibérico Cular Valturra Ibéricos sin gluten 400 g aprox,"5,97 €",38.6 g,457 Kcal,1896 KJ,3.65 g,3.1 g,24.4 g
Atún en aceite de girasol 143 g.,"1,89 €",10 g,191 Kcal,798 KJ,1.5 g,0 g,25 g
Queso en lonchas protein Arla 150 g.,"3,09 €",5 g,186 Kcal,785 KJ,1.2 g,0.5 g,34 g
Cappuccino vienes Extra Carrefour 300 g.,"2,65 €",0.4 g,41 Kcal,173 KJ,0.03 g,8.5 g,0.7 g
Tortillas de harina de trigo integral Carrefour 320 g,"1,55 €",7.3 g,288 Kcal,1212 KJ,1.6 g,42 g,9.2 g
Barritas de trigo y fibra de avena enriquecida con salvado de trigo y trocitos de chocolate All Bran Kellogg's 6 unidades de 40 g.,"3,99 €",16 g,418 Kcal,1747 KJ,0.5 g,52 g,7 g
Galletas doradas al horno sin azúcares Zero Gullón 330 g.,"3,59 €",18 g,439 Kcal,1839 KJ,0.40 g,68 g,6.0 g
Cereales anillos de avena integral Cheerios Nestlé 300 g.,"3,49 €",6.3 g,381 Kcal,1608 KJ,0.70 g,65.7 g,10.4 g
Refresco Antarctica con gas sabor guaraná lata 33 cl.,"1,19 €",0.0 g,40.0 Kcal,170.0 KJ,0.02 g,10.0 g,0.0 g
Pan de leche con pepitas de chocolate con leche Carrefour Classic' 350 g.,"2,09 €",14 g,380 Kcal,1594 KJ,0.74 g,53 g,8.7 g
Galletas Surtidas Selección Extra Carrefour 245 gr.,"4,69 €",29.1 g,523 Kcal,2183 KJ,0.37 g,56.1 g,7.1 g
Vino dulce pedro ximénez Málaga Virgen D.O. Málaga 75 cl.,"9,15 €",0.5 g,135.0 Kcal,564.0 KJ,0.01 g,23.6 g,0.5 g
Vino tinto joven Armegil D.O. Ribera Guadiana 75 cl.,"2,25 €",0.50 g,98 Kcal,406 KJ,0.010 g,0.50 g,1 g
Energy drink Zero Bebida Energética Carrefour lata 25 cl.,"0,51 €",,2 Kcal,8 KJ,0.01 g,,
Cerveza Desperados sabor mojito lata 50 cl.,"1,86 €",0 g,62 Kcal,261 KJ,0.01 g,7 g,0 g
Galletas con avena y pasas Muesli Diet Fibra Gullón 450 g.,"3,59 €",17 g,462 Kcal,1938 KJ,0.80 g,66 g,8.2 g
La Casera de manzana 0% calorías y azucares lata 33 cl.,"0,62 €",0.0 g,2 Kcal,9 KJ,0.02 g,0.3 g,0.0 g
Sopa de ave con fideos Gallina Blanca pack de 3 sobres de 76 g.,"2,25 €",0.1 g,24 Kcal,104 KJ,0.72 g,4.8 g,1 g
Pastel mármol Tia Merry 400 g.,"3,85 €",24.0 g,442.0 Kcal,1848.0 KJ,0.68 g,52.0 g,5.2 g
Bebida de avena sin azúcar añadido YoSoy Barista brik 1 l.,"1,99 €",3.2 g,62 Kcal,259 KJ,0.12 g,6.7 g,1.2 g
Paté de perdiz Extra Carrefour sin gluten 100 g.,"2,59 €",13 g,195 Kcal,811 KJ,2 g,9 g,1 g
Sardinillas en aceite de girasol al limón 6/10 Cabo de Peñas 60 g.,"1,93 €",6.3 g,122 Kcal,509 KJ,1.20 g,0.8 g,15.4 g
Mini torreznillos naturales 150 g,"3,75 €",42.79 g,598.0 Kcal,2489.0 KJ,0.86 g,1.29 g,52.0 g
Margarina con Omega 3 Carrefour 500 g.,"2,19 €",60 g,544 Kcal,2237 KJ,0.4 g,0.5 g,0.5 g
Bebida instantánea sabor fresa Nestlé Nesquik 300 g.,"4,29 €",0.0 g,395 Kcal,1678 KJ,0.08 g,98.6 g,0.0 g
Hamburguesa mixta vacuno y cerdo Carrefour El Mercado 6x90 g,"3,79 €",14 g,201 Kcal,838 KJ,1.65 g,1.3 g,17.5 g
Red Bull Bebida Energética coco y arándanos lata 25 cl,"1,59 €",0 g,45 Kcal,191 KJ,0.1 g,11 g,0 g
Tortillas de trigo para fajitas Mexifoods 8 ud.,"1,72 €",7.54 g,321 Kcal,1355 KJ,1.6 g,53 g,8.3 g
Crema de verduras 485 ml,"2,19 €",3.2 g,58 Kcal,240 KJ,0.64 g,5.7 g,0.9 g
Café con leche en cápsulas Nescafé Dolce Gusto 30 ud.,"7,75 €",22.0 g,459 Kcal,1921 KJ,0.89 g,38.3 g,22.2 g
Tarta helada al whisky Carrefour 531 g.,"2,99 €",4.7 g,107.0 Kcal,447.0 KJ,0.08 g,14.6 g,1.4 g
Harina integral de centeno Carrefour Extra 1 kg.,"2,45 €",1.5 g,322 Kcal,1358 KJ,0.01 g,64.00 g,6.50 g
Caldo de cocido Carrefour sin gluten 1 l.,"0,85 €",0.5 g,7 Kcal,28 KJ,0.87 g,0.5 g,0.5 g
Salteado de menestra con gambas Findus - Salto 500 g.,"3,99 €",0.3 g,45 Kcal,187 KJ,1 g,5.4 g,3.7 g
Postre lácteo de proteínas sabor plátano y mantequilla de cacahuete sin azúcar añadido Danone Yopro pack de 2 unidades de 160 g.,"2,79 €",0.1 g,55 Kcal,231 KJ,0.09 g,4.3 g,9.4 g
Chocolate con leche m&m's 165 g.,"3,25 €",32 g,545 Kcal,2274 KJ,0.26 g,56 g,6.9 g
Tallos de espárragos blancos Classic Carrefour 250 g.,"1,77 €",0.2 g,18 Kcal,75 KJ,0.6 g,2.3 g,1.7 g
"Leche semidesnatada Central Lechera Asturiana botella 1,5 l.","1,78 €",1.55 g,45 Kcal,190 KJ,0.1 g,4.65 g,3.15 g
Empanadilla calzone 3 ud,"3,10 €",7.9 g,223 Kcal,937 KJ,1.7 g,29.3 g,8.2 g
Jamón Serrano Reserva en finas lonchas Carrefour El Mercado sin lactosa 120 g,"2,55 €",15 g,267 Kcal,1116 KJ,3.8 g,0 g,33 g
Paleta de Bellota Ibérica 50% Raza Ibérica semideshuesada Carrefour Sensation pieza de 4 kg aprox,"109,00 €",33 g,401 Kcal,1663 KJ,4 g,0 g,26 g
Snacks de Chifles hojuelas de plátanos maduritos Tortolines 100 g.,"1,41 €",29 g,531 Kcal,2223 KJ,0 g,66 g,2 g
Queso en Polvo especial pasta Carrefour sin gluten 150 g.,"1,19 €",18 g,310 Kcal,1295 KJ,2.5 g,10 g,27 g
Salmón natural alto en proteína Frinsa 120 g.,"5,89 €",14.9 g,224.0 Kcal,934.0 KJ,1.2 g,0 g,22.5 g
Palmera con chocolate negro Airos sin gluten 150 g.,"4,65 €",30 g,521 Kcal,2174 KJ,0.8 g,60 g,1.9 g
