name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas
Yogur sabor fresa Carrefour Classic' pack de 4 unidades de 125 g.,"0,80 €",1.9 g,75 Kcal,315 KJ,0.11 g,11.4 g,3 g
Harina de garbanzo Carrefour sin gluten 500 g.,"1,99 €",5.7 g,369 Kcal,1557 KJ,0.05 g,54 g,20 g
Ensalada enrollados de pollo 300 g,"3,49 €",13 g,208 Kcal,869 KJ,1.0 g,14 g,8.1 g
Preparado de soja para cocinar Classic´ Carrefour pack de 3 unidades de 200 g.,"3,15 €",5 g,68 Kcal,284 KJ,0 g,2 g,3 g
Bebida de soja calcio sabor vainilla Carrefour sin gluten  brik 1 l.,"1,17 €",1.8 g,62 Kcal,262 KJ,0.1 g,8.2 g,3.3 g
Leche infantil de crecimiento 3 desde 12 meses ecológica HiPP  brik  500 g.,"14,15 €",3.4 g,62 Kcal,260 KJ,0.43 g,6 g,1.9 g
Chocolate negro relleno de plátano Carrefour sin gluten 100 g.,"0,99 €",32 g,541 Kcal,2257 KJ,0.15 g,58 g,4.5 g
Tila en bolsitas Ship 25 ud.,"1,08 €",0.0 g,1.0 Kcal,3.0 KJ,0.0 g,0.5 g,0.0 g
Cerveza Alhambra Lager Singular pack 6 botellas de 25 cl.,"4,15 €",0 g,49 Kcal,206 KJ,0 g,4.15 g,0.3 g
Cocktail de frutos secos sabor chilli Cocteleo sin gluten 360 g.,"3,35 €",30 g,528 Kcal,2202 KJ,1.5 g,46 g,14 g
Bocados Vegetal estilo Tex Mex Carrefour Sensation sin gluten 180 g.,"3,59 €",6.9 g,187.3 Kcal,787 KJ,1.7 g,1 g,29.9 g
Crema de calabaza Classic Carrefour sin gluten 1 l.,"1,99 €",1.8 g,40 Kcal,166 KJ,0.68 g,4.4 g,1 g
Yogur griego sabor lima limón Danone Oikos sin gluten pack de 4 unidades de 110 g.,"2,79 €",9.2 g,149 Kcal,623 KJ,0.12 g,13.6 g,3.0 g
"Néctar de piña Don Simón Disfruta sin azúcar añadido botella 1,5 l.","2,15 €",0 g,27 Kcal,114 KJ,0.01 g,6.3 g,0.3 g
Pasta spaghettini al huevo Gallo Selección 1946 450 g.,"1,70 €",2.7 g,350 Kcal,1484 KJ,0.13 g,67 g,13 g
Pan de molde rebanada estilo artesano brioche sabor a mantequilla Bimbo 550 g.,"3,39 €",3.3 g,263 Kcal,1113 KJ,1.2 g,46 g,10 g
Postre lácteo desnatado sabor chocolate protein pudding Danone Yopro 180 g.,"1,79 €",1.8 g,77 Kcal,322 KJ,0.26 g,4.8 g,10.4 g
Pasta cintas nido al huevo Extra Carrefour 500 g.,"1,25 €",3.5 g,365.0 Kcal,1544.0 KJ,0.12 g,67.0 g,14.0 g
Fideos orientales Yatekomo Yakisoba classic pack 2 unidades de 93 g.,"4,15 €",11 g,231 Kcal,966 KJ,1 g,28 g,4.1 g
Yogur sabor vainilla con grageas de chocolate Nestlé Smarties pack de 2 unidades de 128 g.,"2,09 €",4.9 g,492 Kcal,117 KJ,0.16 g,14.0 g,4.3 g
Mini Hamburguesa de Vacuno Ecológicas Carrefour Bio 360 g,"4,39 €",10 g,169 Kcal,704 KJ,1 g,0 g,19 g
Preparado lácteo infantil de crecimiento desde 1 año en polvo Nestlé Nativa 3 lata 800 g.,"11,45 €",21.5 g,485.0 Kcal,2033.0 KJ,0.500 g,62.0 g,10.8 g
Gyoza de pollo Ta-Tung 144 g.,"3,79 €",7.9 g,202.0 Kcal,848.0 KJ,2.3 g,25.0 g,6.7 g
Galletas Dibus Sharkies Gullón sin gluten y sin lactosa 250 g.,"3,25 €",16 g,459 Kcal,1930 KJ,0.43 g,75 g,1.9 g
Nata para montar Central Lechera Asturiana sin lactosa 200 ml.,"1,92 €",38 g,360 Kcal,1483 KJ,0.1 g,2.7 g,1.8 g
Sardinillas en tomate Cabo de Peñas 60 g.,"1,35 €",16.8 g,219 Kcal,911 KJ,0.80 g,1.1 g,15.9 g
Lentejas a la riojana Litoral sin gluten 425 g.,"2,15 €",4.5 g,101 Kcal,420 KJ,0.82 g,7.8 g,5.6 g
Huevo de chocolate con sorpresa Patrulla Canina sin gluten pack de 3 unidades de 20 g.,"1,65 €",32.5 g,546 Kcal,2280 KJ,,57.1 g,5.6 g
Quinoa Real blanca y roja para microondas ecológica Carrefour Bio pack de 2 unidades de 125 g.,"1,62 €",4 g,136 Kcal,573 KJ,0.20 g,19 g,4.1 g
Patatas al horno express McCain 500 g.,"3,55 €",7 g,203 Kcal,853 KJ,0.6 g,30.5 g,3 g
Berlinas bombón Carrefour 4 ud,"1,29 €",30 g,450 Kcal,1881 KJ,1 g,38 g,5.9 g
Baguetina Enharinada 1 ud.,"0,21 €",1.4 g,263 Kcal,1114 KJ,1.36 g,53 g,8.6 g
Queso mozzarella  rallada Galbani 150 g.,"3,85 €",25.0 g,321 Kcal,1333 KJ,1.0 g,2.0 g,22.0 g
Aceite de girasol para freír Carrefour garrafa 5 l.,"6,75 €",100 g,900 Kcal,3700 KJ,0 g,0 g,0 g
Pasta plumas nº 3 Gallo 450 g.,"1,45 €",2 g,344 Kcal,1458 KJ,0.03 g,68 g,12 g
Leche evaporada Carrefour 500 ml.,"1,86 €",6 g,117 Kcal,489 KJ,0 g,9 g,6 g
Filete de melva en aceite de oliva Extra Carrefour 85 g.,"2,25 €",24 g,299 Kcal,1239 KJ,0.64 g,0.5 g,21 g
"Agua mineral Font Vella Sensación con zumo de manzana 1,25 l.","1,95 €",0 g,1 Kcal,3 KJ,0 g,0 g,0 g
Yogur desnatado con mango Danone +Proteína sin gluten y sin azúcar añadida pack de 4 unidades de 105 g.,"2,15 €",0.2 g,48 Kcal,203 KJ,0.16 g,5.3 g,6.3 g
Paella marinera Carretilla sin gluten sin aceite de palma pack 2 unidades de 250 g.,"6,45 €",9.4 g,182 Kcal,763 KJ,1.4 g,19.3 g,4.9 g
Bífidus desnatado con trozos de melocotón y  maracuyá sin azúcar añadido Carrefour pack de 4 unidades de 125 g.,"1,30 €",0.5 g,43 Kcal,181 KJ,0.20 g,5.8 g,4.4 g
Cortadillos con cabello de ángel Inés Rosales 216 g.,"1,91 €",15 g,426 Kcal,1736 KJ,0.15 g,68 g,4 g
Macarrón integral ecológico Carrefour Bio 500 g.,"1,54 €",2.0 g,336.0 Kcal,1420.0 KJ,0.03 g,62.0 g,12.0 g
Filete de salmón Dimar 360 g.,"6,05 €",12 g,181 Kcal,757 KJ,0 g,0 g,20.62 g
Bocaditos Tex-Mex preparado para burrito Hi Vegs 290 g.,"3,49 €",12 g,197 Kcal,818 KJ,0.88 g,9.1 g,11 g
Galletas bañadas de chocolate con leche Filipinos Artiach 128 g.,"1,53 €",26 g,515 Kcal,2153 KJ,0.3 g,62 g,6.7 g
Crema de jamón york Iberitos 250 g.,"2,29 €",30.4 g,311 Kcal,1310 KJ,2.47 g,6.71 g,4.42 g
Tortellini boloñesa Rana 250 g.,"3,59 €",11.0 g,267 Kcal,1122 KJ,1.1 g,34.0 g,11.0 g
Gamba pelada salvaje cruda congelada 53/88 piezas Grand Krust 600 g.,"15,79 €",0.400 g,51 Kcal,217 KJ,4 g,0.500 g,11.30 g
"Pizza chorizo, jamón y bacon Carrefour Classic' 400 g.","2,89 €",12.0 g,272.0 Kcal,1141.0 KJ,2.0 g,29.0 g,12.0 g
Paleta de Cebo Ibérica 50 % Raza Ibérica en lonchas Sánchez Alcaraz sin gluten y sin lactosa 200 g,"10,59 €",26 g,350 Kcal,1455 KJ,5 g,1 g,28 g
