vendor,name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas,url
Carrefour,Jalapeños nachos La Costeña 121 g.,2.09,1 g,25 Kcal,105 KJ,2.17 g,3 g,1 g,https://www.carrefour.es/supermercado/jalapenos-nachos-la-costena-121-g/R-prod260123/p
Carrefour,Azúcar avainillado Vahiné 90 g.,2.35,0 g,399 Kcal,1668 KJ,,99.7 g,0 g,https://www.carrefour.es/supermercado/azucar-avainillado-vahine-90-g/R-521008313/p
Carrefour,Fideos orientales de pollo Yatekomo Gallina Blanca pack de 4 unidades de 60 g.,5.55,4 g,88 Kcal,368 KJ,0.76 g,11 g,1.6 g,https://www.carrefour.es/supermercado/fideos-orientales-de-pollo-yatekomo-gallina-blanca-pack-de-4-unidades-de-60-g/R-870701785/p
Carrefour,Néctar de melocotón Granini botella 1 l.,3.05,0.5 g,37 Kcal,155 KJ,0 g,8.2 g,0.5 g,https://www.carrefour.es/supermercado/nectar-de-melocoton-granini-botella-1-l/R-520660916/p
Carrefour,Verduras para Wok mediterráneo Carrefour 400 g,1.91,0.2 g,24 Kcal,102 KJ,0.03 g,3.6 g,0.8 g,https://www.carrefour.es/supermercado/verduras-para-wok-mediterraneo-carrefour-400-g/R-526104355/p
Carrefour,Queso Gruyère Carrrefour 200 g,3.09,32 g,396 Kcal,1643 KJ,0.7 g,0.5 g,27 g,https://www.carrefour.es/supermercado/queso-gruyere-carrrefour-200-g/R-VC4AECOMM-681368/p
Carrefour,"Mayonesa Daddies sin gluten 3,6 l.",11.15,9.99 g,603.0 Kcal,2481.0 KJ,1.02 g,2.8 g,1.04 g,https://www.carrefour.es/supermercado/mayonesa-daddies-sin-gluten-36-l/R-prod210295/p
Carrefour,Lomo de Cebo de Campo Ibérico 50% Raza Ibérica en lonchas Redondo Iglesias sin gluten y sin lactosa 40 g,3.25,24 g,353 Kcal,1469 KJ,3.9 g,0 g,34 g,https://www.carrefour.es/supermercado/lomo-de-cebo-de-campo-iberico-50-raza-iberica-en-lonchas-redondo-iglesias-sin-gluten-y-sin-lactosa-40-g/R-prod971597/p
Carrefour,Chocolate negro 70% relleno de naranja Lindt Creation 150 g.,3.85,33 g,544 Kcal,2265 KJ,0.02 g,51 g,6.4 g,https://www.carrefour.es/supermercado/chocolate-negro-70-relleno-de-naranja-lindt-creation-150-g/R-530014617/p
Carrefour,Pepitos de azucar Carrefour 4 ud,3.49,15 g,336 Kcal,1409 KJ,1.6 g,43 g,5.5 g,https://www.carrefour.es/supermercado/pepitos-de-azucar-carrefour-4-ud/R-614201649/p
Carrefour,Patatas fritas ligeras Frit Ravich 115 g.,1.93,18 g,451 Kcal,1891 KJ,2.8 g,66 g,4.1 g,https://www.carrefour.es/supermercado/patatas-fritas-ligeras-frit-ravich-115-g/R-530066848/p
Carrefour,Preparado lácteo Omega 3 Puleva sin gluten brik 1 l.,1.90,2.3 g,52 Kcal,218 KJ,0.15 g,4.9 g,2.9 g,https://www.carrefour.es/supermercado/preparado-lacteo-omega-3-puleva-sin-gluten-brik-1-l/R-521007052/p
Carrefour,Caramelos de goma Phantasia Haribo 90 g.,1.58,0.5 g,342 Kcal,1452 KJ,0.03 g,77 g,6.6 g,https://www.carrefour.es/supermercado/caramelos-de-goma-phantasia-haribo-90-g/R-VC4AECOMM-639997/p
Carrefour,Postre delicias de galleta María Nestlé La Lechera pack de 2 unidades de 125 g.,1.59,6.0 g,138 Kcal,579 KJ,0.16 g,18 g,3 g,https://www.carrefour.es/supermercado/postre-delicias-de-galleta-maria-nestle-la-lechera-pack-de-2-unidades-de-125-g/R-772505561/p
Carrefour,Aceitunas gordal aliñada sin hueso Classic Carrefour sin gluten 400 g.,4.05,13 g,143 Kcal,549 KJ,3.5 g,0.6 g,1.3 g,https://www.carrefour.es/supermercado/aceitunas-gordal-alinada-sin-hueso-classic-carrefour-sin-gluten-400-g/R-VC4AECOMM-023350/p
Carrefour,Cereales smacks Kellogg's 400 g.,3.99,1.6 g,377 Kcal,1597 KJ,0.02 g,81 g,7.1 g,https://www.carrefour.es/supermercado/cereales-smacks-kelloggs-400-g/R-521003339/p
Carrefour,Burger de proteína de guisante Green Cuisine Findus 200 g.,4.09,17 g,237 Kcal,985 KJ,1.5 g,3.9 g,14 g,https://www.carrefour.es/supermercado/burger-de-proteina-de-guisante-green-cuisine-findus-200-g/R-VC4AECOMM-478502/p
Carrefour,Yogur desnatado con trozos de fresa Carrefour Classic' sin gluten y sin azúcar añadido pack de 6 unidades de 125 g.,1.77,1 g,39 Kcal,164 KJ,0 g,5 g,4 g,https://www.carrefour.es/supermercado/yogur-desnatado-con-trozos-de-fresa-carrefour-classic-sin-gluten-y-sin-azucar-anadido-pack-de-6-unidades-de-125-g/R-VC4AECOMM-691077/p
Carrefour,Aquarius sabor naranja botella 50 cl.,1.50,0 g,19.0 Kcal,81.0 KJ,0.05 g,4.5 g,0 g,https://www.carrefour.es/supermercado/aquarius-sabor-naranja-botella-50-cl/R-520660731/p
Carrefour,Miel con Jalea Real Luna de Miel 250 g.,6.75,0.5 g,332 Kcal,1360 KJ,0.1 g,82 g,0.7 g,https://www.carrefour.es/supermercado/miel-con-jalea-real-luna-de-miel-250-g/R-522714938/p
Carrefour,Garbanza blanca cocida Don Pedro 400 g.,1.77,5.3 g,323 Kcal,1366 KJ,0.01 g,49.3 g,19.5 g,https://www.carrefour.es/supermercado/garbanza-blanca-cocida-don-pedro-400-g/R-782418252/p
Carrefour,Paleta Asada al horno en lonchas Noel Delizias sin gluten y sin lactosa 150 g,2.45,5.9 g,124 Kcal,520 KJ,1.9 g,1.8 g,16 g,https://www.carrefour.es/supermercado/paleta-asada-al-horno-en-lonchas-noel-delizias-sin-gluten-y-sin-lactosa-150-g/R-fprod1420346/p
Carrefour,Confitura de frambuesa Temporada Hero sin gluten 360 g.,4.29,0.1 g,246 Kcal,1043 KJ,0.0 g,60 g,0.4 g,https://www.carrefour.es/supermercado/confitura-de-frambuesa-temporada-hero-sin-gluten-360-g/R-VC4AECOMM-815142/p
Carrefour,Dúo de Bacalao Desalado Extra Boreal Artik 250 g,5.49,1.0 g,95.0 Kcal,397.0 KJ,0.2 g,0 g,21.0 g,https://www.carrefour.es/supermercado/duo-de-bacalao-desalado-extra-boreal-artik-250-g/R-VC4AECOMM-727866/p
Carrefour,Masa filo Carrefour 250 g.,1.99,1.1 g,290 Kcal,1214.17 KJ,0.76 g,60 g,9 g,https://www.carrefour.es/supermercado/masa-filo-carrefour-250-g/R-590209303/p
Carrefour,Oreja guisada Original Carrefour sin gluten 370 g.,2.25,13.5 g,196 Kcal,816 KJ,0.8 g,2.5 g,16 g,https://www.carrefour.es/supermercado/oreja-guisada-original-carrefour-sin-gluten-370-g/R-prod500422/p
Carrefour,"Leche entera Central Lechera Asturiana botella 1,5 l.",1.78,3.6 g,63 Kcal,264 KJ,0.1 g,4.6 g,3.1 g,https://www.carrefour.es/supermercado/leche-entera-central-lechera-asturiana-botella-15-l/R-521030168/p
Carrefour,"Gelatina sabor limón Protein Kaiku sin gluten, sin lactosa y sin azúcar pack de 4 unidades de 125 g.",2.15,0 g,33 Kcal,140 KJ,0.01 g,0 g,8.2 g,https://www.carrefour.es/supermercado/gelatina-sabor-limon-protein-kaiku-sin-gluten-sin-lactosa-y-sin-azucar-pack-de-4-unidades-de-125-g/R-VC4AECOMM-247969/p
Carrefour,Yogur infantil de yogurín con manzana y fresa sin azúcar añadido Hero Mi Merienda  100 g.,1.30,1.8 g,70 Kcal,294 KJ,0.08 g,11.2 g,1.8 g,https://www.carrefour.es/supermercado/yogur-infantil-de-yogurin-con-manzana-y-fresa-sin-azucar-anadido-hero-mi-merienda-100-g/R-748813092/p
Carrefour,Picos artesanos con aceite de oliva y ajo Carrefour 230 g,1.59,7.9 g,406 Kcal,1713 KJ,2 g,71.7 g,10.1 g,https://www.carrefour.es/supermercado/picos-artesanos-con-aceite-de-oliva-y-ajo-carrefour-230-g/R-526104395/p
Carrefour,Crackers con quinoa y chía Gullón 250 g.,2.35,22 g,479 Kcal,2006 KJ,2.8 g,58 g,8.2 g,https://www.carrefour.es/supermercado/crackers-con-quinoa-y-chia-gullon-250-g/R-fprod1330066/p
Carrefour,Atún de Almadraba en aceite de oliva Tejero 156 g.,3.29,29 g,340 Kcal,1408 KJ,1 g,0 g,20 g,https://www.carrefour.es/supermercado/atun-de-almadraba-en-aceite-de-oliva-tejero-156-g/R-526511019/p
